"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"  309P/LINEAR",4.447,0.6080,17.67,11.45,50.80,1.743,7.15,9.38,7146,0,444,,,,,,,,,,,,,
"  310P/Hill",4.162,0.4260,13.19,8.96,31.66,2.389,5.93,8.49,6753,0,587,,,,,,,,,,,,,
"  311P/PANSTARRS",2.189,0.1157,4.97,279.26,144.00,1.936,2.44,3.24,7410,0,272,,,,,,,,,,,,,
"  312P/NEAT",3.459,0.4301,19.79,144.89,207.69,1.971,4.95,6.43,7082,1,161,,,,,,,,,,,,,
"  313P/Gibbs",3.162,0.2392,10.95,106.34,253.94,2.405,3.92,5.62,8037,0,200,,,,,,,,,,,,,
"  314P/Montani",7.275,0.4160,3.98,267.70,213.41,4.249,10.30,19.6,7589,0,384,,,,,,,,,,,,,
"  315P/LONEOS",5.023,0.5164,17.91,69.60,66.95,2.429,7.62,11.3,7692,0,2369,,,,,,,,,,,,,
"  316P/LONEOS-Christensen",4.327,0.1664,9.88,246.93,191.67,3.607,5.05,9,4192,2,128,,,,,,,,,,,,,
"  317P/WISE",2.957,0.5802,11.96,275.69,334.74,1.241,4.67,5.08,5301,1,93,,,,,,,,,,,,,
"  318P/McNaught-Hartley",7.53,0.6752,17.89,35.75,313.18,2.445,12.61,20.7,8165,0,442,,,,,,,,,,,,,
"  319P/Catalina-McNaught",3.573,0.6650,15.07,111.37,203.68,1.197,5.95,6.75,5294,0,371,,,,,,,,,,,,,
"  320P/McNaught",3.103,0.6824,4.89,295.96,0.67,0.985,5.22,5.47,4055,0,121,,,,,,,,,,,,,
"  321P/SOHO",2.427,0.9807,19.74,165.27,172.41,0.047,4.81,3.78,5539,3,91,,,,,,,,,,,,,
"  322P/SOHO",2.516,0.9787,12.59,359.52,49.05,0.054,4.98,3.99,5817,2,318,,,,,,,,,,,,,
"  323P/SOHO",2.582,0.9848,5.37,324.23,353.17,0.039,5.12,4.15,2999,0,171,,,,,,,,,,,,,
"  324P/La Sagra",3.094,0.1538,21.42,270.65,58.90,2.618,3.57,5.44,4108,0,500,,,,1.600,,0.010,,,,,,,
"  325P/Yang-Gao",3.406,0.6243,16.33,258.85,347.00,1.279,5.53,6.29,26052,0,1380,,,,,,,,,,,,,
"  326P/Hill",4.069,0.3169,2.47,99.81,278.79,2.779,5.36,8.21,12127,1,301,,,,,,,,,,,,,
"  327P/Van Ness",3.563,0.5628,36.25,173.97,185.02,1.558,5.57,6.73,7460,0,900,,,,,,,,,,,,,
"  328P/LONEOS-Tucker",4.204,0.5513,17.65,341.60,30.62,1.886,6.52,8.62,9594,0,609,,,,,,,,,,,,,
"  329P/LINEAR-Catalina",5.189,0.6801,21.47,88.79,342.31,1.660,8.72,11.8,4517,0,685,,,,,,,,,,,,,
"  330P/Catalina",6.59,0.5493,15.55,294.34,186.72,2.970,10.21,16.9,6358,0,342,,,,,,,,,,,,,
"  331P/Gibbs",3.005,0.0414,9.74,216.84,178.12,2.880,3.13,5.21,7778,0,200,,,,,,,,,,,,,
"  332P/Ikeya-Murakami",3.087,0.4886,9.38,3.82,152.43,1.579,4.60,5.42,80,6,385,,,,,,,,,,,,,
"  333P/LINEAR",4.22,0.7361,131.97,115.62,26.07,1.114,7.33,8.67,6528,0,1302,,,,,,,21.04,,,,,,
"  334P/NEAT",6.488,0.3545,19.06,92.78,81.09,4.188,8.79,16.5,6316,0,404,,,,,,,,,,,,,
"  335P/Gibbs",3.588,0.5435,7.28,330.89,162.30,1.638,5.54,6.8,5290,0,430,,,,,,,,,,,,,
"  336P/McNaught",4.813,0.4529,18.56,299.24,313.96,2.633,6.99,10.6,7621,1,164,,,,,,,,,,,,,
"  337P/WISE",3.288,0.4969,15.37,106.08,160.92,1.654,4.92,5.96,4506,0,386,,,,,,,,,,,,,
"  338P/McNaught",3.903,0.4103,25.35,9.81,4.51,2.301,5.50,7.71,6101,0,882,,,,,,,,,,,,,
"  339P/Gibbs",3.676,0.6398,5.75,172.78,27.16,1.324,6.03,7.05,2712,1,141,,,,,,,,,,,,,
"  340P/Boattini",4.237,0.2809,2.08,291.83,36.02,3.047,5.43,8.72,3836,2,289,,,,,,,,,,,,,
"  341P/Gibbs",4.293,0.4144,3.80,30.07,312.39,2.514,6.07,8.9,3376,1,283,,,,,,,,,,,,,
"  342P/SOHO",3.043,0.9826,13.27,43.40,58.70,0.053,6.03,5.31,5816,4,283,,,,,,,,,,,,,
"  343P/NEAT-LONEOS",5.475,0.5842,5.58,257.27,137.58,2.277,8.67,12.8,4882,0,324,,,,,,,,,,,,,
"  344P/Read",4.887,0.4220,3.48,273.29,140.37,2.825,6.95,10.8,23841,0,535,,,,,,,,,,,,,
"  345P/LINEAR",4.046,0.2195,2.72,154.52,196.47,3.158,4.93,8.14,5883,1,190,,,,,,,,,,,,,
"  346P/Catalina",4.482,0.5041,22.17,102.56,335.76,2.223,6.74,9.49,10072,0,553,,,,,,,,,,,,,
"  347P/PANSTARRS",3.609,0.3847,11.75,261.05,98.30,2.220,5.00,6.86,7815,0,309,,,,,,,,,,,,,
"  348P/PANSTARRS",3.169,0.3017,17.57,313.56,134.17,2.213,4.12,5.64,4544,0,84,,,,,,,,,,,,,
"  349P/Lemmon",3.571,0.2999,5.49,331.76,256.00,2.500,4.64,6.75,5199,1,209,,,,2.983,,0.104,,,,,,,
"  350P/McNaught",4.099,0.0906,7.36,65.41,141.04,3.728,4.47,8.3,2987,3,52,,,,,,,,,,,,,
"  351P/Wiegert-PANSTARRS",4.44,0.2949,12.78,283.41,352.66,3.130,5.75,9.36,9914,1,315,,,,,,,,,,,,,
"  352P/Skiff",6.598,0.6177,21.06,28.14,309.35,2.523,10.67,16.9,6372,0,637,,,,,,,,,,,,,
"  353P/McNaught",4.166,0.4688,28.42,121.59,230.50,2.213,6.12,8.5,6240,0,126,,,,,,,,,,,,,
"  354P/LINEAR",2.29,0.1250,5.26,320.24,132.73,2.004,2.58,3.46,2579,3,250,,,,,,,,,,,,,
"  355P/LINEAR-NEAT",3.472,0.5081,11.04,51.44,336.40,1.708,5.24,6.47,4984,2,962,,,,,,,,,,,,,
"  356P/WISE",4.165,0.3541,9.63,160.81,226.17,2.690,5.64,8.5,5789,1,212,,,,,,,,,,,,,
"  357P/Hill",4.45,0.4355,6.33,44.68,1.29,2.512,6.39,9.39,3750,1,293,,,,,,,,,,,,,
"  358P/PANSTARRS",3.147,0.2389,11.06,85.70,299.77,2.395,3.90,5.58,8088,1,252,,,,,,,,,,,,,
"  359P/LONEOS",4.631,0.3225,10.26,149.81,200.25,3.138,6.12,9.97,3826,2,133,,,,,,,,,,,,,
"  360P/WISE",3.705,0.4979,24.08,2.23,354.14,1.860,5.55,7.13,5254,0,208,,,,,,,,,,,,,
"  361P/Spacewatch",4.946,0.4379,13.88,203.28,219.24,2.780,7.11,11,4910,0,381,,,,,,,,,,,,,
"  363P/Lemmon",3.405,0.5575,3.97,169.92,315.27,1.507,5.30,6.28,4893,0,124,,,,,,,,,,,,,
"  364P/PANSTARRS",2.878,0.7226,12.15,46.22,211.97,0.799,4.96,4.88,3960,0,1487,,,,,,,,,,,,,
"  365P/PANSTARRS",3.186,0.5733,9.84,87.44,66.40,1.359,5.01,5.69,2382,1,403,,,,,,,,,,,,,
"  366P/Spacewatch",3.501,0.3474,8.85,70.80,153.58,2.285,4.72,6.55,4764,2,74,,,,,,,,,,,,,
"  367P/Catalina",3.511,0.2799,8.46,58.74,173.48,2.528,4.49,6.58,2626,2,129,,,,,,,,,,,,,
"  368P/NEAT",5.504,0.6285,15.45,258.17,118.81,2.044,8.96,12.9,4966,0,784,,,,,,,,,,,,,
"  369P/Hill",4.385,0.5546,10.32,47.37,13.33,1.953,6.82,9.18,3372,0,404,,,,,,,,,,,,,
"  370P/NEAT",6.459,0.6122,19.37,55.27,356.83,2.504,10.41,16.4,6358,0,215,,,,,,,,,,,,,
"  371P/LINEAR-Skiff",4.164,0.4780,17.41,67.41,308.64,2.174,6.15,8.5,6340,1,175,,,,,,,,,,,,,
"  372P/McNaught",4.494,0.1535,9.52,325.86,27.46,3.804,5.18,9.53,4131,1,438,,,,,,,,,,,,,
"  373P/Rinner",3.802,0.3937,13.77,232.02,221.22,2.305,5.30,7.41,2681,1,900,,,,,,,,,,,,,
"  374P/Larson",4.969,0.4625,10.79,8.16,51.42,2.671,7.27,11.1,4168,1,286,,,,,,,,,,,,,
"  375P/Hill",5.567,0.6600,17.37,359.97,119.43,1.893,9.24,13.1,4892,0,313,,,,,,,,,,,,,
"  376P/LONEOS",5.857,0.5148,1.19,315.16,285.48,2.842,8.87,14.2,5999,0,478,,,,,,,,,,,,,
"  377P/Scotti",6.728,0.2515,9.02,226.03,354.47,5.036,8.42,17.5,7395,0,192,,,,,,,,,,,,,
"  378P/McNaught",6.364,0.4688,19.11,94.52,194.16,3.381,9.35,16.1,8263,1,828,,,,,,,,,,,,,
"  379P/Spacewatch",3.53,0.3367,12.38,184.06,31.06,2.342,4.72,6.63,7219,1,98,,,,,,,,,,,,,
"  380P/PANSTARRS",4.528,0.3264,8.23,133.11,90.06,3.050,6.01,9.63,3779,2,266,,,,,,,,,,,,,
"  381P/LINEAR-Spacewatch",7.123,0.6795,28.46,174.11,172.54,2.283,11.96,19,6992,0,175,,,,,,,,,,,,,
"  382P/Larson",6.052,0.2762,7.87,181.67,175.51,4.380,7.72,14.9,5580,0,543,,,,,,,,,,,,,
"  383P/Christensen",3.497,0.6114,11.87,213.64,128.06,1.359,5.64,6.54,4832,0,349,,,,,,,,,,,,,
"  384P/Kowalski",2.903,0.6154,7.28,354.24,37.62,1.116,4.69,4.95,3749,0,740,,,,,,,,,,,,,
"  385P/Hill",4.275,0.4023,16.86,357.16,44.33,2.555,5.99,8.84,3391,1,353,,,,,,,,,,,,,
"  386P/PANSTARRS",4.052,0.4178,15.24,134.98,353.35,2.359,5.74,8.16,6297,0,118,,,,,,,,,,,,,
"  387P/Boattini",4.799,0.7360,8.90,259.36,162.78,1.267,8.33,10.5,4055,0,347,,,,,,,,,,,,,
"  388P/Gibbs",5.239,0.6189,23.88,37.16,42.47,1.997,8.48,12,4573,0,133,,,,,,,,,,,,,
"  389P/Siding Spring",5.62,0.7047,160.07,218.81,249.49,1.660,9.58,13.3,4823,0,103,,,,,,,,,,,,,
"  390P/Gibbs",5.81,0.7058,18.52,152.72,231.74,1.709,9.91,14,5224,0,339,,,,,,,,,,,,,
"  391P/Kowalski",4.68,0.1198,21.27,124.76,186.88,4.119,5.24,10.1,5719,1,260,,,,,,,,,,,,,
"  392P/LINEAR",6.156,0.6825,4.94,25.11,72.00,1.954,10.36,15.3,11104,0,387,,,,,,,,,,,,,
"  393P/Spacewatch-Hill",4.774,0.1196,16.81,36.41,328.59,4.202,5.34,10.4,4103,0,140,,,,,,,,,,,,,
"  394P/PANSTARRS",4.339,0.3691,8.53,98.14,54.50,2.737,5.94,9.04,6593,1,92,,,,,,,,,,,,,
"  395P/Catalina-NEAT",6.579,0.3821,3.28,223.55,89.97,4.065,9.09,16.9,6648,0,810,,,,,,,,,,,,,
"  396P/Leonard",6.842,0.4178,5.43,136.66,8.68,3.983,9.70,17.9,6618,2,115,,,,,,,,,,,,,
"  397P/Lemmon",3.86,0.4006,11.02,8.97,12.49,2.314,5.41,7.58,5921,1,484,,,,,,,,,,,,,
"  398P/Boattini",3.128,0.5826,11.02,127.46,320.23,1.306,4.95,5.53,4041,2,1644,,,,,,,,,,,,,
"  399P/PANSTARRS",3.811,0.4420,13.35,207.56,213.32,2.127,5.50,7.44,8512,1,407,,,,,,,,,,,,,
"  400P/PANSTARRS",3.56,0.4090,10.93,176.41,238.71,2.104,5.02,6.72,3115,0,414,,,,,,,,,,,,,
"  401P/McNaught",5.693,0.5820,12.87,0.10,310.24,2.380,9.01,13.6,5310,1,268,,,,,,,,,,,,,
"  402P/LINEAR",6.979,0.4388,30.89,123.13,326.98,3.916,10.04,18.4,8236,0,2125,,,,,,,,,,,,,
"  403P/CATALINA",5.408,0.5037,12.32,163.85,277.85,2.684,8.13,12.6,4904,0,215,,,,,,,,,,,,,
"  404P/Bressi",4.773,0.1334,9.73,260.42,167.57,4.137,5.41,10.4,4905,2,767,,,,,,,,,,,,,
"  405P/Lemmon",3.607,0.6891,9.37,3.31,112.29,1.121,6.09,6.85,2775,0,1017,,,,,,,,,,,,,
"  406P/Gibbs",3.44,0.5740,1.43,8.81,353.07,1.465,5.41,6.38,4789,2,193,,,,,,,,,,,,,
"  407P/PANSTARRS-Fuls",3.455,0.3850,4.90,80.84,92.34,2.125,4.78,6.42,2595,2,734,,,,,,,,,,,,,
"  408P/Novichonok-Gerke",4.783,0.2713,19.24,189.80,224.81,3.486,6.08,10.5,5068,1,1766,,,,,,,,,,,,,
"  409P/LONEOS-Hill",6.053,0.7107,17.14,143.78,15.04,1.751,10.36,14.9,5692,0,1705,,,,,,,,,,,,,
"  410P/NEAT-LINEAR",6.627,0.5100,9.39,139.98,313.11,3.247,10.01,17.1,6261,1,272,,,,,,,,,,,,,
"  411P/Christensen",5.807,0.5820,12.39,77.82,46.67,2.427,9.19,14,5188,2,225,,,,,,,,,,,,,
